clk i_ni i_router o_ni o_router vnet flits
65 1 1 19 3 1 8
65 2 2 19 3 0 8
65 3 3 20 4 0 8
65 3 3 21 5 1 8
65 4 4 21 5 0 8
65 5 5 24 8 0 8
65 5 5 22 6 1 8
65 6 6 23 7 0 8
65 7 7 25 9 0 8
65 7 7 26 10 1 8
65 7 7 29 13 1 8
65 8 8 23 7 0 8
65 9 9 23 7 0 8
65 10 10 27 11 0 8
65 11 11 28 12 0 8
65 12 12 30 14 0 8
65 12 12 31 15 1 8
73 0 0 17 1 0 8
73 1 1 18 2 0 8
73 1 1 19 3 1 8
73 2 2 19 3 0 8
73 3 3 20 4 0 8
73 3 3 21 5 1 8
73 4 4 21 5 0 8
73 5 5 24 8 0 8
73 5 5 22 6 1 8
73 6 6 23 7 0 8
73 7 7 25 9 0 8
73 7 7 26 10 1 8
73 7 7 29 13 1 8
73 8 8 23 7 0 8
73 9 9 23 7 0 8
73 10 10 27 11 0 8
73 11 11 28 12 0 8
73 12 12 30 14 0 8
73 12 12 31 15 1 8
81 0 0 17 1 0 8
81 1 1 18 2 0 8
81 1 1 19 3 1 8
81 2 2 19 3 0 8
81 3 3 20 4 0 8
81 3 3 21 5 1 8
81 4 4 21 5 0 8
81 5 5 24 8 0 8
81 5 5 22 6 1 8
81 6 6 23 7 0 8
81 7 7 25 9 0 8
81 7 7 26 10 1 8
81 7 7 29 13 1 8
81 8 8 23 7 0 8
81 9 9 23 7 0 8
81 10 10 27 11 0 8
81 11 11 28 12 0 8
81 12 12 30 14 0 8
81 12 12 31 15 1 8
89 0 0 17 1 0 8
89 1 1 18 2 0 8
89 1 1 19 3 1 8
89 2 2 19 3 0 8
89 3 3 20 4 0 8
89 3 3 21 5 1 8
89 4 4 21 5 0 8
89 5 5 24 8 0 8
89 5 5 22 6 1 8
89 6 6 23 7 0 8
89 7 7 25 9 0 8
89 7 7 26 10 1 8
89 7 7 29 13 1 8
89 8 8 23 7 0 8
89 9 9 23 7 0 8
89 10 10 27 11 0 8
89 11 11 28 12 0 8
89 12 12 30 14 0 8
89 12 12 31 15 1 8
97 0 0 17 1 0 8
97 1 1 18 2 0 8
97 1 1 19 3 1 8
97 2 2 19 3 0 8
97 3 3 20 4 0 8
97 3 3 21 5 1 8
97 4 4 21 5 0 8
97 5 5 24 8 0 8
97 5 5 22 6 1 8
97 6 6 23 7 0 8
97 7 7 25 9 0 8
97 7 7 26 10 1 8
97 7 7 29 13 1 8
97 8 8 23 7 0 8
97 9 9 23 7 0 8
97 10 10 27 11 0 8
97 11 11 28 12 0 8
97 12 12 30 14 0 8
97 12 12 31 15 1 8
105 0 0 17 1 0 8
105 1 1 18 2 0 8
105 1 1 19 3 1 8
105 2 2 19 3 0 8
105 3 3 20 4 0 8
105 3 3 21 5 1 8
105 4 4 21 5 0 8
105 5 5 24 8 0 8
105 5 5 22 6 1 8
105 6 6 23 7 0 8
105 7 7 25 9 0 8
105 7 7 26 10 1 8
105 7 7 29 13 1 8
105 8 8 23 7 0 8
105 9 9 23 7 0 8
105 10 10 27 11 0 8
105 11 11 28 12 0 8
105 12 12 30 14 0 8
105 12 12 31 15 1 8
113 0 0 17 1 0 8
113 1 1 18 2 0 8
113 1 1 19 3 1 8
113 2 2 19 3 0 8
113 3 3 20 4 0 8
113 3 3 21 5 1 8
113 4 4 21 5 0 8
113 5 5 24 8 0 8
113 5 5 22 6 1 8
113 6 6 23 7 0 8
113 7 7 25 9 0 8
113 7 7 26 10 1 8
113 7 7 29 13 1 8
113 8 8 23 7 0 8
113 9 9 23 7 0 8
113 10 10 27 11 0 8
113 11 11 28 12 0 8
113 12 12 30 14 0 8
113 12 12 31 15 1 8
121 0 0 17 1 0 8
121 1 1 18 2 0 8
121 1 1 19 3 1 8
121 2 2 19 3 0 8
121 3 3 20 4 0 8
121 3 3 21 5 1 8
121 4 4 21 5 0 8
121 5 5 24 8 0 8
121 5 5 22 6 1 8
121 6 6 23 7 0 8
121 7 7 25 9 0 8
121 7 7 26 10 1 8
121 7 7 29 13 1 8
121 8 8 23 7 0 8
121 9 9 23 7 0 8
121 10 10 27 11 0 8
121 11 11 28 12 0 8
121 12 12 30 14 0 8
121 12 12 31 15 1 8
129 0 0 17 1 0 8
129 1 1 18 2 0 8
129 1 1 19 3 1 8
129 2 2 19 3 0 8
129 3 3 20 4 0 8
129 3 3 21 5 1 8
129 4 4 21 5 0 8
129 5 5 24 8 0 8
129 5 5 22 6 1 8
129 6 6 23 7 0 8
129 7 7 25 9 0 8
129 7 7 26 10 1 8
129 7 7 29 13 1 8
129 8 8 23 7 0 8
129 9 9 23 7 0 8
129 10 10 27 11 0 8
129 11 11 28 12 0 8
129 12 12 30 14 0 8
129 12 12 31 15 1 8
137 0 0 17 1 0 8
137 1 1 18 2 0 8
137 1 1 19 3 1 8
137 2 2 19 3 0 8
137 3 3 20 4 0 8
137 3 3 21 5 1 8
137 4 4 21 5 0 8
137 5 5 24 8 0 8
137 5 5 22 6 1 8
137 6 6 23 7 0 8
137 7 7 25 9 0 8
137 7 7 26 10 1 8
137 7 7 29 13 1 8
137 8 8 23 7 0 8
137 9 9 23 7 0 8
137 10 10 27 11 0 8
137 11 11 28 12 0 8
137 12 12 30 14 0 8
137 12 12 31 15 1 8
145 0 0 17 1 0 8
145 1 1 18 2 0 8
145 1 1 19 3 1 8
145 2 2 19 3 0 8
145 3 3 20 4 0 8
145 3 3 21 5 1 8
145 4 4 21 5 0 8
145 5 5 24 8 0 8
145 5 5 22 6 1 8
145 6 6 23 7 0 8
145 7 7 25 9 0 8
145 7 7 26 10 1 8
145 7 7 29 13 1 8
145 8 8 23 7 0 8
145 9 9 23 7 0 8
145 10 10 27 11 0 8
145 11 11 28 12 0 8
145 12 12 30 14 0 8
145 12 12 31 15 1 8
153 0 0 17 1 0 8
153 1 1 18 2 0 8
153 1 1 19 3 1 8
153 2 2 19 3 0 8
153 3 3 20 4 0 8
153 3 3 21 5 1 8
153 4 4 21 5 0 8
153 5 5 24 8 0 8
153 5 5 22 6 1 8
153 6 6 23 7 0 8
153 7 7 25 9 0 8
153 7 7 26 10 1 8
153 7 7 29 13 1 8
153 8 8 23 7 0 8
153 9 9 23 7 0 8
153 10 10 27 11 0 8
153 11 11 28 12 0 8
153 12 12 30 14 0 8
153 12 12 31 15 1 8
161 0 0 17 1 0 8
161 1 1 18 2 0 8
161 1 1 19 3 1 8
161 2 2 19 3 0 8
161 3 3 20 4 0 8
161 3 3 21 5 1 8
161 4 4 21 5 0 8
161 5 5 24 8 0 8
161 5 5 22 6 1 8
161 6 6 23 7 0 8
161 7 7 25 9 0 8
161 7 7 26 10 1 8
161 7 7 29 13 1 8
161 8 8 23 7 0 8
161 9 9 23 7 0 8
161 10 10 27 11 0 8
161 11 11 28 12 0 8
161 12 12 30 14 0 8
161 12 12 31 15 1 8
169 0 0 17 1 0 8
169 1 1 18 2 0 8
169 1 1 19 3 1 8
169 2 2 19 3 0 8
169 3 3 20 4 0 8
169 3 3 21 5 1 8
169 4 4 21 5 0 8
169 5 5 24 8 0 8
169 5 5 22 6 1 8
169 6 6 23 7 0 8
169 7 7 25 9 0 8
169 7 7 26 10 1 8
169 7 7 29 13 1 8
169 8 8 23 7 0 8
169 9 9 23 7 0 8
169 10 10 27 11 0 8
169 11 11 28 12 0 8
169 12 12 30 14 0 8
169 12 12 31 15 1 8
177 0 0 17 1 0 8
177 1 1 18 2 0 8
177 1 1 19 3 1 8
177 2 2 19 3 0 8
177 3 3 20 4 0 8
177 3 3 21 5 1 8
177 4 4 21 5 0 8
177 5 5 24 8 0 8
177 5 5 22 6 1 8
177 6 6 23 7 0 8
177 7 7 25 9 0 8
177 7 7 26 10 1 8
177 7 7 29 13 1 8
177 8 8 23 7 0 8
177 9 9 23 7 0 8
177 10 10 27 11 0 8
177 11 11 28 12 0 8
177 12 12 30 14 0 8
177 12 12 31 15 1 8
185 0 0 17 1 0 8
185 1 1 18 2 0 8
185 1 1 19 3 1 8
185 2 2 19 3 0 8
185 3 3 20 4 0 8
185 3 3 21 5 1 8
185 4 4 21 5 0 8
185 5 5 24 8 0 8
185 5 5 22 6 1 8
185 6 6 23 7 0 8
185 7 7 25 9 0 8
185 7 7 26 10 1 8
185 7 7 29 13 1 8
185 8 8 23 7 0 8
185 9 9 23 7 0 8
185 10 10 27 11 0 8
185 11 11 28 12 0 8
185 12 12 30 14 0 8
185 12 12 31 15 1 8
193 0 0 17 1 0 8
193 1 1 18 2 0 8
193 1 1 19 3 1 8
193 2 2 19 3 0 8
193 3 3 20 4 0 8
193 3 3 21 5 1 8
193 4 4 21 5 0 8
193 5 5 24 8 0 8
193 5 5 22 6 1 8
193 6 6 23 7 0 8
193 7 7 25 9 0 8
193 7 7 26 10 1 8
193 7 7 29 13 1 8
193 8 8 23 7 0 8
193 9 9 23 7 0 8
193 10 10 27 11 0 8
193 11 11 28 12 0 8
193 12 12 30 14 0 8
193 12 12 31 15 1 8
201 0 0 17 1 0 8
201 1 1 18 2 0 8
201 1 1 19 3 1 8
201 2 2 19 3 0 8
201 3 3 20 4 0 8
201 3 3 21 5 1 8
201 4 4 21 5 0 8
201 5 5 24 8 0 8
201 5 5 22 6 1 8
201 6 6 23 7 0 8
201 7 7 25 9 0 8
201 7 7 26 10 1 8
201 7 7 29 13 1 8
201 8 8 23 7 0 8
201 9 9 23 7 0 8
201 10 10 27 11 0 8
201 11 11 28 12 0 8
201 12 12 30 14 0 8
201 12 12 31 15 1 8
209 0 0 17 1 0 8
209 1 1 18 2 0 8
209 1 1 19 3 1 8
209 2 2 19 3 0 8
209 3 3 20 4 0 8
209 3 3 21 5 1 8
209 4 4 21 5 0 8
209 5 5 24 8 0 8
209 5 5 22 6 1 8
209 6 6 23 7 0 8
209 7 7 25 9 0 8
209 7 7 26 10 1 8
209 7 7 29 13 1 8
209 8 8 23 7 0 8
209 9 9 23 7 0 8
209 10 10 27 11 0 8
209 11 11 28 12 0 8
209 12 12 30 14 0 8
209 12 12 31 15 1 8
217 0 0 17 1 0 8
217 1 1 18 2 0 8
217 1 1 19 3 1 8
217 2 2 19 3 0 8
217 3 3 20 4 0 8
217 3 3 21 5 1 8
217 4 4 21 5 0 8
217 5 5 24 8 0 8
217 5 5 22 6 1 8
217 6 6 23 7 0 8
217 7 7 25 9 0 8
217 7 7 26 10 1 8
217 7 7 29 13 1 8
217 8 8 23 7 0 8
217 9 9 23 7 0 8
217 10 10 27 11 0 8
217 11 11 28 12 0 8
217 12 12 30 14 0 8
217 12 12 31 15 1 8
225 0 0 17 1 0 8
225 1 1 18 2 0 8
225 1 1 19 3 1 8
225 2 2 19 3 0 8
225 3 3 20 4 0 8
225 3 3 21 5 1 8
225 4 4 21 5 0 8
225 5 5 24 8 0 8
225 5 5 22 6 1 8
225 6 6 23 7 0 8
225 7 7 25 9 0 8
225 7 7 26 10 1 8
225 7 7 29 13 1 8
225 8 8 23 7 0 8
225 9 9 23 7 0 8
225 10 10 27 11 0 8
225 11 11 28 12 0 8
225 12 12 30 14 0 8
225 12 12 31 15 1 8
233 0 0 17 1 0 8
233 1 1 18 2 0 8
233 1 1 19 3 1 8
233 2 2 19 3 0 8
233 3 3 20 4 0 8
233 3 3 21 5 1 8
233 4 4 21 5 0 8
233 5 5 24 8 0 8
233 5 5 22 6 1 8
233 6 6 23 7 0 8
233 7 7 25 9 0 8
233 7 7 26 10 1 8
233 7 7 29 13 1 8
233 8 8 23 7 0 8
233 9 9 23 7 0 8
233 10 10 27 11 0 8
233 11 11 28 12 0 8
233 12 12 30 14 0 8
233 12 12 31 15 1 8
241 0 0 17 1 0 8
241 1 1 18 2 0 8
241 1 1 19 3 1 8
241 2 2 19 3 0 8
241 3 3 20 4 0 8
241 3 3 21 5 1 8
241 4 4 21 5 0 8
241 5 5 24 8 0 8
241 5 5 22 6 1 8
241 6 6 23 7 0 8
241 7 7 25 9 0 8
241 7 7 26 10 1 8
241 7 7 29 13 1 8
241 8 8 23 7 0 8
241 9 9 23 7 0 8
241 10 10 27 11 0 8
241 11 11 28 12 0 8
241 12 12 30 14 0 8
241 12 12 31 15 1 8
249 0 0 17 1 0 8
249 1 1 18 2 0 8
249 1 1 19 3 1 8
249 2 2 19 3 0 8
249 3 3 20 4 0 8
249 3 3 21 5 1 8
249 4 4 21 5 0 8
249 5 5 24 8 0 8
249 5 5 22 6 1 8
249 6 6 23 7 0 8
249 7 7 25 9 0 8
249 7 7 26 10 1 8
249 7 7 29 13 1 8
249 8 8 23 7 0 8
249 9 9 23 7 0 8
249 10 10 27 11 0 8
249 11 11 28 12 0 8
249 12 12 30 14 0 8
249 12 12 31 15 1 8
257 0 0 17 1 0 8
257 1 1 18 2 0 8
257 1 1 19 3 1 8
257 2 2 19 3 0 8
257 3 3 20 4 0 8
257 3 3 21 5 1 8
257 4 4 21 5 0 8
257 5 5 24 8 0 8
257 5 5 22 6 1 8
257 6 6 23 7 0 8
257 7 7 25 9 0 8
257 7 7 26 10 1 8
257 7 7 29 13 1 8
257 8 8 23 7 0 8
257 9 9 23 7 0 8
257 10 10 27 11 0 8
257 11 11 28 12 0 8
257 12 12 30 14 0 8
257 12 12 31 15 1 8
265 0 0 17 1 0 8
265 1 1 18 2 0 8
265 1 1 19 3 1 8
265 2 2 19 3 0 8
265 3 3 20 4 0 8
265 3 3 21 5 1 8
265 4 4 21 5 0 8
265 5 5 24 8 0 8
265 5 5 22 6 1 8
265 6 6 23 7 0 8
265 7 7 25 9 0 8
265 7 7 26 10 1 8
265 7 7 29 13 1 8
265 8 8 23 7 0 8
265 9 9 23 7 0 8
265 10 10 27 11 0 8
265 11 11 28 12 0 8
265 12 12 30 14 0 8
265 12 12 31 15 1 8
273 0 0 17 1 0 8
273 1 1 18 2 0 8
273 1 1 19 3 1 8
273 2 2 19 3 0 8
273 3 3 20 4 0 8
273 3 3 21 5 1 8
273 4 4 21 5 0 8
273 5 5 24 8 0 8
273 5 5 22 6 1 8
273 6 6 23 7 0 8
273 7 7 25 9 0 8
273 7 7 26 10 1 8
273 7 7 29 13 1 8
273 8 8 23 7 0 8
273 9 9 23 7 0 8
273 10 10 27 11 0 8
273 11 11 28 12 0 8
273 12 12 30 14 0 8
273 12 12 31 15 1 8
281 0 0 17 1 0 8
281 1 1 18 2 0 8
281 1 1 19 3 1 8
281 2 2 19 3 0 8
281 3 3 20 4 0 8
281 3 3 21 5 1 8
281 4 4 21 5 0 8
281 5 5 24 8 0 8
281 5 5 22 6 1 8
281 6 6 23 7 0 8
281 7 7 25 9 0 8
281 7 7 26 10 1 8
281 7 7 29 13 1 8
281 8 8 23 7 0 8
281 9 9 23 7 0 8
281 10 10 27 11 0 8
281 11 11 28 12 0 8
281 12 12 30 14 0 8
281 12 12 31 15 1 8
289 0 0 17 1 0 8
289 1 1 18 2 0 8
289 1 1 19 3 1 8
289 2 2 19 3 0 8
289 3 3 20 4 0 8
289 3 3 21 5 1 8
289 4 4 21 5 0 8
289 5 5 24 8 0 8
289 5 5 22 6 1 8
289 6 6 23 7 0 8
289 7 7 25 9 0 8
289 7 7 26 10 1 8
289 7 7 29 13 1 8
289 8 8 23 7 0 8
289 9 9 23 7 0 8
289 10 10 27 11 0 8
289 11 11 28 12 0 8
289 12 12 30 14 0 8
289 12 12 31 15 1 8
297 0 0 17 1 0 8
297 1 1 18 2 0 8
297 1 1 19 3 1 8
297 2 2 19 3 0 8
297 3 3 20 4 0 8
297 3 3 21 5 1 8
297 4 4 21 5 0 8
297 5 5 24 8 0 8
297 5 5 22 6 1 8
297 6 6 23 7 0 8
297 7 7 25 9 0 8
297 7 7 26 10 1 8
297 7 7 29 13 1 8
297 8 8 23 7 0 8
297 9 9 23 7 0 8
297 10 10 27 11 0 8
297 11 11 28 12 0 8
297 12 12 30 14 0 8
297 12 12 31 15 1 8
305 0 0 17 1 0 8
305 1 1 18 2 0 8
305 1 1 19 3 1 8
305 2 2 19 3 0 8
305 3 3 20 4 0 8
305 3 3 21 5 1 8
305 4 4 21 5 0 8
305 5 5 24 8 0 8
305 5 5 22 6 1 8
305 6 6 23 7 0 8
305 7 7 25 9 0 8
305 7 7 26 10 1 8
305 7 7 29 13 1 8
305 8 8 23 7 0 8
305 9 9 23 7 0 8
305 10 10 27 11 0 8
305 11 11 28 12 0 8
305 12 12 30 14 0 8
305 12 12 31 15 1 8
313 0 0 17 1 0 8
313 1 1 18 2 0 8
313 1 1 19 3 1 8
313 2 2 19 3 0 8
313 3 3 20 4 0 8
313 3 3 21 5 1 8
313 4 4 21 5 0 8
313 5 5 24 8 0 8
313 5 5 22 6 1 8
313 6 6 23 7 0 8
313 7 7 25 9 0 8
313 7 7 26 10 1 8
313 7 7 29 13 1 8
313 8 8 23 7 0 8
313 9 9 23 7 0 8
313 10 10 27 11 0 8
313 11 11 28 12 0 8
313 12 12 30 14 0 8
313 12 12 31 15 1 8
321 0 0 17 1 0 8
321 1 1 18 2 0 8
321 1 1 19 3 1 8
321 2 2 19 3 0 8
321 3 3 20 4 0 8
321 3 3 21 5 1 8
321 4 4 21 5 0 8
321 5 5 24 8 0 8
321 5 5 22 6 1 8
321 6 6 23 7 0 8
321 7 7 25 9 0 8
321 7 7 26 10 1 8
321 7 7 29 13 1 8
321 8 8 23 7 0 8
321 9 9 23 7 0 8
321 10 10 27 11 0 8
321 11 11 28 12 0 8
321 12 12 30 14 0 8
321 12 12 31 15 1 8
329 0 0 17 1 0 8
329 1 1 18 2 0 8
329 1 1 19 3 1 8
329 2 2 19 3 0 8
329 3 3 20 4 0 8
329 3 3 21 5 1 8
329 4 4 21 5 0 8
329 5 5 24 8 0 8
329 5 5 22 6 1 8
329 6 6 23 7 0 8
329 7 7 25 9 0 8
329 7 7 26 10 1 8
329 7 7 29 13 1 8
329 8 8 23 7 0 8
329 9 9 23 7 0 8
329 10 10 27 11 0 8
329 11 11 28 12 0 8
329 12 12 30 14 0 8
329 12 12 31 15 1 8
337 0 0 17 1 0 8
337 1 1 18 2 0 8
337 1 1 19 3 1 8
337 2 2 19 3 0 8
337 3 3 20 4 0 8
337 3 3 21 5 1 8
337 4 4 21 5 0 8
337 5 5 24 8 0 8
337 5 5 22 6 1 8
337 6 6 23 7 0 8
337 7 7 25 9 0 8
337 7 7 26 10 1 8
337 7 7 29 13 1 8
337 8 8 23 7 0 8
337 9 9 23 7 0 8
337 10 10 27 11 0 8
337 11 11 28 12 0 8
337 12 12 30 14 0 8
337 12 12 31 15 1 8
345 0 0 17 1 0 8
345 1 1 18 2 0 8
345 1 1 19 3 1 8
345 2 2 19 3 0 8
345 3 3 20 4 0 8
345 3 3 21 5 1 8
345 4 4 21 5 0 8
345 5 5 24 8 0 8
345 5 5 22 6 1 8
345 6 6 23 7 0 8
345 7 7 25 9 0 8
345 7 7 26 10 1 8
345 7 7 29 13 1 8
345 8 8 23 7 0 8
345 9 9 23 7 0 8
345 10 10 27 11 0 8
345 11 11 28 12 0 8
345 12 12 30 14 0 8
345 12 12 31 15 1 8
353 0 0 17 1 0 8
353 1 1 18 2 0 8
353 1 1 19 3 1 8
353 2 2 19 3 0 8
353 3 3 20 4 0 8
353 3 3 21 5 1 8
353 4 4 21 5 0 8
353 5 5 24 8 0 8
353 5 5 22 6 1 8
353 6 6 23 7 0 8
353 7 7 25 9 0 8
353 7 7 26 10 1 8
353 7 7 29 13 1 8
353 8 8 23 7 0 8
353 9 9 23 7 0 8
353 10 10 27 11 0 8
353 11 11 28 12 0 8
353 12 12 30 14 0 8
353 12 12 31 15 1 8
361 0 0 17 1 0 8
361 1 1 18 2 0 8
361 1 1 19 3 1 8
361 2 2 19 3 0 8
361 3 3 20 4 0 8
361 3 3 21 5 1 8
361 4 4 21 5 0 8
361 5 5 24 8 0 8
361 5 5 22 6 1 8
361 6 6 23 7 0 8
361 7 7 25 9 0 8
361 7 7 26 10 1 8
361 7 7 29 13 1 8
361 8 8 23 7 0 8
361 9 9 23 7 0 8
361 10 10 27 11 0 8
361 11 11 28 12 0 8
361 12 12 30 14 0 8
361 12 12 31 15 1 8
369 0 0 17 1 0 8
369 1 1 18 2 0 8
369 1 1 19 3 1 8
369 2 2 19 3 0 8
369 3 3 20 4 0 8
369 3 3 21 5 1 8
369 4 4 21 5 0 8
369 5 5 24 8 0 8
369 5 5 22 6 1 8
369 6 6 23 7 0 8
369 7 7 25 9 0 8
369 7 7 26 10 1 8
369 7 7 29 13 1 8
369 8 8 23 7 0 8
369 9 9 23 7 0 8
369 10 10 27 11 0 8
369 11 11 28 12 0 8
369 12 12 30 14 0 8
369 12 12 31 15 1 8
377 0 0 17 1 0 8
377 1 1 18 2 0 8
377 1 1 19 3 1 8
377 2 2 19 3 0 8
377 3 3 20 4 0 8
377 3 3 21 5 1 8
377 4 4 21 5 0 8
377 5 5 24 8 0 8
377 5 5 22 6 1 8
377 6 6 23 7 0 8
377 7 7 25 9 0 8
377 7 7 26 10 1 8
377 7 7 29 13 1 8
377 8 8 23 7 0 8
377 9 9 23 7 0 8
377 10 10 27 11 0 8
377 11 11 28 12 0 8
377 12 12 30 14 0 8
377 12 12 31 15 1 8
385 0 0 17 1 0 8
385 1 1 18 2 0 8
385 1 1 19 3 1 8
385 2 2 19 3 0 8
385 3 3 20 4 0 8
385 3 3 21 5 1 8
385 4 4 21 5 0 8
385 5 5 24 8 0 8
385 5 5 22 6 1 8
385 6 6 23 7 0 8
385 7 7 25 9 0 8
385 7 7 26 10 1 8
385 7 7 29 13 1 8
385 8 8 23 7 0 8
385 9 9 23 7 0 8
385 10 10 27 11 0 8
385 11 11 28 12 0 8
385 12 12 30 14 0 8
385 12 12 31 15 1 8
393 0 0 17 1 0 8
393 1 1 18 2 0 8
393 1 1 19 3 1 8
393 2 2 19 3 0 8
393 3 3 20 4 0 8
393 3 3 21 5 1 8
393 4 4 21 5 0 8
393 5 5 24 8 0 8
393 5 5 22 6 1 8
393 6 6 23 7 0 8
393 7 7 25 9 0 8
393 7 7 26 10 1 8
393 7 7 29 13 1 8
393 8 8 23 7 0 8
393 9 9 23 7 0 8
393 10 10 27 11 0 8
393 11 11 28 12 0 8
393 12 12 30 14 0 8
393 12 12 31 15 1 8
401 0 0 17 1 0 8
401 1 1 18 2 0 8
401 1 1 19 3 1 8
401 2 2 19 3 0 8
401 3 3 20 4 0 8
401 3 3 21 5 1 8
401 4 4 21 5 0 8
401 5 5 24 8 0 8
401 5 5 22 6 1 8
401 6 6 23 7 0 8
401 7 7 25 9 0 8
401 7 7 26 10 1 8
401 7 7 29 13 1 8
401 8 8 23 7 0 8
401 9 9 23 7 0 8
401 10 10 27 11 0 8
401 11 11 28 12 0 8
401 12 12 30 14 0 8
401 12 12 31 15 1 8
409 0 0 17 1 0 8
409 1 1 18 2 0 8
409 1 1 19 3 1 8
409 2 2 19 3 0 8
409 3 3 20 4 0 8
409 3 3 21 5 1 8
409 4 4 21 5 0 8
409 5 5 24 8 0 8
409 5 5 22 6 1 8
409 6 6 23 7 0 8
409 7 7 25 9 0 8
409 7 7 26 10 1 8
409 7 7 29 13 1 8
409 8 8 23 7 0 8
409 9 9 23 7 0 8
409 10 10 27 11 0 8
409 11 11 28 12 0 8
409 12 12 30 14 0 8
409 12 12 31 15 1 8
417 0 0 17 1 0 8
417 1 1 18 2 0 8
417 1 1 19 3 1 8
417 2 2 19 3 0 8
417 3 3 20 4 0 8
417 3 3 21 5 1 8
417 4 4 21 5 0 8
417 5 5 24 8 0 8
